,text
2019-03-14 19:55:00+00:00,@Tesla Design it to be the perfect looking car but hey once a thief gets in and disables mobile access I am afraid you my dear are carless.
2019-03-14 19:55:00+00:00,@Seanmmvi @Erdayastronaut @Tesla @SpaceX This is also a combined reveal with test drives so a bit different than 3
2019-03-14 19:55:00+00:00,"Amazing! I wish $AAPL would do the same in their software updates, not the opposite. Right #Tim 🍎?"
2019-03-14 19:55:00+00:00,@Tesla Wow. The S3XY family will be complete. Looking forward
2019-03-14 19:55:00+00:00,It's time to call it a night. I'm tired after reading the post. I'm gonna sleep.
2019-03-14 19:55:00+00:00,Tesla to unveil Model Y SUV as electric vehicle competition heats up https://t.co/5fwDGQGvZf #topNews… https://t.co/zvOnJ788u2
2019-03-14 19:55:00+00:00,"@28delayslater @m40dotcom @Tesla @ValueAnalyst1 Earl, don't ever think you aren't loved!"
2019-03-14 19:55:00+00:00,@Tesla I hate you... but I love you you so damn much.
2019-03-14 19:55:00+00:00,"@gwestr @AlexRoy144 please take your Tesla up HWY 9 and Skyline behind Tesla's own HQ...  oh wait, you don't even g… https://t.co/nhPTf2Z4OQ"
2019-03-14 19:55:00+00:00,@teslainventory @Tesla @elonmusk Powerwall can sustain 60hz without the grid?
2019-03-14 19:55:00+00:00,Did Elon Musk cross ethical lines when he tried to take down a junior engineer? https://t.co/ufjsf9vVx7 via @BW
2019-03-14 19:55:00+00:00,@vincent13031925 @Tesla @elonmusk What about your power discount? My PG&amp;E bill is down over 50% for being on the EV… https://t.co/NuwZj457Uo
2019-03-14 19:55:00+00:00,"Mercedes, Volvo, Tesla lead in rolling out auto emergency braking     - Roadshow https://t.co/kRRPPVSFQA"
2019-03-14 19:55:00+00:00,"After $TSLAQ and ousting from #SpaceX, Elon Musk can build a new career around writing self-help books on Micromana… https://t.co/lQKd2CmL3N"
2019-03-14 19:55:00+00:00,Has anyone made any new renderings yet? 😂 #ModelY #Tesla
2019-03-14 19:55:00+00:00,@DetroitHives @biggreen @squarerootsgrow @Tesla I would love to see a Detroit hives in every city
2019-03-14 19:55:00+00:00,@elonmusk when will we see the  Tesla RV?
2019-03-14 19:55:00+00:00,Tesla Model III rapidly becoming the best selling EV in Europe.https://t.co/WUUN5KMOmP
2019-03-14 19:55:00+00:00,@BYoung001 @jwangARK @TashaARK Just because I follow someone doesn't mean I agree with their pov necessarily. It's… https://t.co/jAfqJD8V1y
2019-03-14 19:55:00+00:00,I’m so excited for this.
2019-03-14 19:55:00+00:00,Just spent 20 bucks on GTA so I can get a Tesla https://t.co/gieV0E0mD7
2019-03-14 19:55:00+00:00,"Most #innovative companies, 20181. #ServiceNow2. #Workday3. #Salesforce4. #Tesla5. #Amazon6. #Netflix7.… https://t.co/FO3SlLAD8Q"
2019-03-14 19:55:00+00:00,@Tesla if its an suv its already trash
2019-03-14 19:55:00+00:00,Tesla to unveil Model Y SUV as electric vehicle competition heats up https://t.co/RmWcr9JctC
2019-03-14 19:55:00+00:00,idealmagn3t Posted... https://t.co/MdTx281oao
2019-03-14 19:55:00+00:00,idealmagn3t Posted... https://t.co/39JpDgPpKN
2019-03-14 19:55:00+00:00,Tesla was like 'I saw you had to uninstall NA for storage...let me tag along to the cool kids club'THANK YOU https://t.co/lN33FjJjWJ
2019-03-14 19:55:00+00:00,"@AggySays @NikolaTeslaSays Yes, I can see the resemblance.Tesla, how do you feel?"
2019-03-14 19:55:00+00:00,@ValueAnalyst1 I did see that. Tesla decided to recapture some of the already depreciated (ie written down) expense… https://t.co/Y1hudpkU8f
2019-03-14 19:55:00+00:00,"@John50140083 @28delayslater @Tesla @ValueAnalyst1 I think the glass will go behind drivers head like X, and then s… https://t.co/dpMvCW9d0r"
2019-03-14 19:55:00+00:00,⁦⁦@elonmusk⁩ Small repairs via mobile service is awesome! ⁦@Tesla⁩ https://t.co/57iNIG96FC
2019-03-14 19:55:00+00:00,Elon Tesla having to fight for his security clearance is what is going to start the robot takeover.
2019-03-14 19:55:00+00:00,@Tesla @elonmusk Congrats on achieving S.E.X.Y. !!!
2019-03-14 19:55:00+00:00,idealmagn3t Posted... https://t.co/Dl2S2rFJOV
2019-03-14 19:55:00+00:00,What you got in store for the Model Y @elonmusk
2019-03-14 19:55:00+00:00,"#GottaLoveTheKoolaid. For the record, I drive a @LincolnMotorCo #TownCar. And no, I wouldn’t rush out and buy a… https://t.co/lW6QGOwTF0"
2019-03-14 19:55:00+00:00,"PT is killing me, but I gotta see this!"
2019-03-14 19:55:00+00:00,Musk Reads: Tesla Model Y Launch Imminent - Inverse https://t.co/nR9MGSWi7E https://t.co/l2o9LlCqNJ
2019-03-14 19:55:00+00:00,"@econsageman @KFILE Thomas Edison, George Westinghouse, John Paul Getty, John D Rockefeller, JP Morgan, Nikola Tesl… https://t.co/gQBoid1hq8"
2019-03-14 19:55:00+00:00,I'ma burn the Tesla if I win it to see how much environmental damage it can do.
2019-03-14 19:55:00+00:00,@Tesla #Model3 production #ModelY in a few hours @autobild https://t.co/Spro6NS8w0
2019-03-14 19:55:00+00:00,I gave up more than 7 years of life for you to have the Tesla you have today. The least you could have doen was res… https://t.co/HKRmSAsDeE
2019-03-14 19:55:00+00:00,@BryceWeiner I must be dumb because when I read the whitepaper it gives me chills.Feels like the writer is way sm… https://t.co/IHkdjcK4io
2019-03-14 19:55:00+00:00,@Tesla I see what your doing. https://t.co/GsWpKTFUba
2019-03-14 19:55:00+00:00,idealmagn3t Posted... https://t.co/IVZ1LtpqJ6
2019-03-14 19:55:00+00:00,Wall control like Tesla Waymo self-drive and clutch like Lambo Audi in everyday curry surprise
2019-03-14 19:55:00+00:00,@morganhousel Tesla is a fascinating debate b/t those that only read the numbers and those that only see the future… https://t.co/ZF1IptVVJH
2019-03-14 19:55:00+00:00,Is Tesla Autopilot 100X Further in Self-Driving R…: https://t.co/yw5umcSyJM
2019-03-14 19:55:00+00:00,"@CarCounsel @bzrong Plus you get the aerospace connection. Saab ""born from jets"" = Tesla ""born from rockets"" (very tongue in cheek though)"
2019-03-14 19:55:00+00:00,Dear Tim @Apple hope you're taking notes on the commonality of @MKBHD list and ask yourself why something in partic… https://t.co/LWABvlpY4T
2019-03-14 19:55:00+00:00,@fras99 Like going from a Tesla Roadster to a rusty Yugo
2019-03-14 19:55:00+00:00,@askslim But model x is the best looking Tesla.
2019-03-14 19:55:00+00:00,idealmagn3t Posted... https://t.co/ORoqcv6qaR
2019-03-14 19:55:00+00:00,@BenObi2000 For the Tesla MCU... Just found it while scrolling through amazon
2019-03-14 19:55:00+00:00,"@Tesla Really need one, working late shift and I’m an SUV guy, hope you’ll reach out :) https://t.co/0M2jPrUoTh"
2019-03-14 19:55:00+00:00,@elonmusk any chance Tesla will offer a software upgrade (for a fee) for the dual motor to achieve acceleration clo… https://t.co/R3dk2qfr3Q
2019-03-14 19:55:00+00:00,@LikeTeslaKim I’m at the meet. But all I see are beautiful Tesla’s
2019-03-15 13:30:00+00:00,"Mercedes, #Volvo, #Tesla lead in rolling out auto emergency braking #Roadshow https://t.co/kem4baJaRB @CNET https://t.co/SHN6POZos8"
2019-03-15 13:30:00+00:00,"Mercedes, Volvo, Tesla lead in rolling out auto emergency braking     - Roadshow https://t.co/iNRYzcFgas"
2019-03-15 13:30:00+00:00,Tesla is set to unveil the Model Y — and one analyst says it could double the company's addressable market https://t.co/EwXapbO1gN
2019-03-15 13:30:00+00:00,Tesla to unveil Model Y SUV as electric vehicle competition heats up https://t.co/4rCpqMWA20
2019-03-15 13:30:00+00:00,Tesla to unveil Model Y SUV as electric vehicle competition heats up https://t.co/0QodX7wlc2
2019-03-15 13:30:00+00:00,@teslainventory @Tesla @elonmusk When is it available in England?
2019-03-15 13:30:00+00:00,Tesla to unveil Model Y SUV as electric vehicle competition heats up https://t.co/eXzZEU78PV #news #technology
2019-03-15 13:30:00+00:00,He only hits back when it personally impacts him or his wallet.  I bailed on elecktrek and @FredericLambert months… https://t.co/QJMryVBeJn
2019-03-15 13:30:00+00:00,@m40dotcom @28delayslater @Tesla @ValueAnalyst1 Nice try
2019-03-15 13:30:00+00:00,"You can't do it all, man."
2019-03-15 13:30:00+00:00,@Tesla @elonmusk This will be a SHOW 💥 I don’t want to miss!!! 🔥😍 Model Y @Tesla ⚔️🖤@elonmusk
2019-03-15 13:30:00+00:00,Tesla to unveil Model Y SUV as electric vehicle competition heats up https://t.co/mxzbAx4wZX https://t.co/jDzktWdjBG
2019-03-15 13:30:00+00:00,"March 14, 2019 / 5:17 AMChina customs lifts suspension on Tesla Model 3 imports https://t.co/wlHZdT4A5t"
2019-03-15 13:30:00+00:00,@JoseppiCorleone @Tesla @elonmusk What they going for?
2019-03-15 13:30:00+00:00,#NowPlaying Tesla - Afterlife  Ecoutez et Suivez nous sur https://t.co/px919HQgKu #vinylestimes  House Of Good Music Tesla - Afterlife
2019-03-15 13:30:00+00:00,Cigabuy-Authentic Tesla WYE 430mAh Pod System Kit New Arrivals https://t.co/RVa7hwDiSN
2019-03-15 13:30:00+00:00,@Tesla @poundsignmatt11 The lights will be turning off everywhere in due time
2019-03-15 13:30:00+00:00,@danahull Mathews mom yelling at him for tweeting Tesla lies all the time.
2019-03-15 13:30:00+00:00,"@elonmusk Elon, suggestion: TESLA should build electric scooters &amp; motorbikes."
2019-03-15 13:30:00+00:00,Tesla to unveil Model Y SUV as electric vehicle competition heats up https://t.co/5D9y5SjLoU
2019-03-15 13:30:00+00:00,Hyped for tonight!
2019-03-15 13:30:00+00:00,Tesla certainly has demand problems in Norway... 😅 https://t.co/ITIgtDVJcp
2019-03-15 13:30:00+00:00,Can't wait!
2019-03-15 13:30:00+00:00,@teslainventory @Tesla @elonmusk At my brothers place it's common for power to go out for 1 day or more. Heat still… https://t.co/adtonPuD63
2019-03-15 13:30:00+00:00,@Tesla @poundsignmatt11 the lights will be turning off at tesla in due time
2019-03-15 13:30:00+00:00,$TSLA Model Y design seems a let down to me. I am no car aficionado but this would not be my choice for a SUV or a… https://t.co/ahquBjVtqW
2019-03-15 13:30:00+00:00,idealmagn3t Posted... https://t.co/iKLq4KasBq
2019-03-15 13:30:00+00:00,"@Tesla Lifted model 3 from the front, smaller model x from back..."
2019-03-15 13:30:00+00:00,"New post: ""Mercedes, Volvo, Tesla lead in rolling out auto emergency braking     - Roadshow"" https://t.co/2ROmzoFczX"
2019-03-15 13:30:00+00:00,super hyped
2019-03-15 13:30:00+00:00,"Same as why @Tesla had to make the electric car not ""just as good,"" but so much better, there needs to be a ""killer… https://t.co/EQKJv2DXb0"
2019-03-15 13:30:00+00:00,Endless Teslas 😂I think I died and went to Tesla heaven https://t.co/cSl8kpz5zy
2019-03-15 13:30:00+00:00,"Mercedes, Volvo, Tesla lead in rolling out auto emergency braking     - Roadshow https://t.co/oV55o7JoKU"
2019-03-15 13:30:00+00:00,"Pulled up to the show in a Tesla last night, tuh"
2019-03-15 13:30:00+00:00,@SuperSaf @Tesla @elonmusk good job :) looks fun as heck 🚗🚗❄️❄️🌨️🌨️
2019-03-15 13:30:00+00:00,"@notslabs @TeslaOpinion @ValueAnalyst1 Profitable both those quarters, but I'm sure your ignorance will cause you t… https://t.co/CilijoSpOq"
2019-03-15 13:30:00+00:00,"My first tweet. If you drop that Tesla on me, I’ll have it wrapped with Tron TRX inspired custom car wrapping. I’ll… https://t.co/jdxd1PCvHM"
2019-03-15 13:30:00+00:00,idealmagn3t Posted... https://t.co/pBArAtMl1r
2019-03-15 13:30:00+00:00,idealmagn3t Posted... https://t.co/DSGZzZV5VM
2019-03-15 13:30:00+00:00,@teslainventory @elonmusk @Tesla I thought powerwalls weren’t allowed in CO?? Do tell!!
2019-03-15 13:30:00+00:00,Tesla Model Y livestream: How to watch Elon Musk's big EV reveal - #SlashGear https://t.co/6pVZfoc7g4 @slashgear https://t.co/gu020Ac06S
2019-03-15 13:30:00+00:00,Tesla to unveil Model Y SUV as electric vehicle competition heats up - https://t.co/CWZyrbQ28Y https://t.co/CTJc08seVQ
2019-03-15 13:30:00+00:00,Tesla Model Y livestream: How to watch @ElonMusk's big EV reveal https://t.co/ck7qwg5PsV https://t.co/5FmV39P5l3
